volume peso recompensa duração(s)
3 19 754 984
16 13 1121 641
25 28 1370 535
6 26 1991 318
16 26 1590 728
19 28 946 1021
19 16 1967 865
16 13 367 703
3 19 585 827
13 29 1511 325
23 16 868 608
25 13 1251 384
26 22 1628 925
20 13 1542 128
9 9 1137 1019
6 26 1291 1035
3 23 1410 1028
3 19 1432 1051
22 16 982 229
3 20 1645 316
23 23 881 353
19 6 1813 756
6 3 1176 551
13 13 1679 146
28 6 707 517
26 16 1303 358
7 3 1607 273
13 9 1857 1017
19 29 1523 353
10 26 1843 187
6 6 442 900
19 10 1820 348
7 10 801 919
3 22 1768 195
3 16 1105 256
16 3 836 819
22 25 224 467
10 10 553 631
13 16 1894 625
3 16 753 124
29 16 1369 817
20 23 1325 338
13 25 1026 365
19 6 1108 1031
13 13 1710 800
16 16 287 918
